Type,Num,Genus,Species,Family,ComName,Location,Collector,Contributor,Date,Notes
L,302,Carya,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,303,Juglans,Cinerea,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,304,Tilia,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,305,Quercus,Rubra,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,306,Quercus,Alba,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,307,Acer,Unknown,Unknown,"Hard","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,308,Acer,Unknown,Unknown,"Soft","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,309,Fraxinus,Nigra,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,310,Fraxinus,Nigra,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,311,Ulmus,Americana,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,312,Fagus,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,313,Nyssa,Tupelo,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,314,Taxodium,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,315,Tsuga,Canadensis,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,316,Pinus,Resinosa,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,317,Pinus,Strobus,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,318,Pseudotsuga,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,319,Pseudotsuga,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,320,Pseudotsuga,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,321,Pseudotsuga,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,322,Ochroma,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,323,Ulmus,Americana,Unknown,"Unknown","Mansfield, Ont.","G.J. Thomson","",01-Jan-1932,""
L,324,Tilia,Unknown,Unknown,"Unknown","Mansfield, Ont.","G.J. Thomson","",01-Jan-1932,""
L,325,Fraxinus,Americana,Unknown,"Unknown","Mansfield, Ont.","G.J. Thomson","",01-Jan-1932,""
L,326,Acer,Saccharum,Unknown,"Unknown","Mansfield, Ont.","G.J. Thomson","",01-Jan-1932,""
